id;cliente;sexo;nascimento;endereco;bairro;cidade;estado;email;telefone
1089;Osvaldo Logan;m;07/02/1982;7 N. Homewood St.;Mandya;New Eucha;AR;parkes@yahoo.ca;
1090;Fernanda Harrington;f;21/04/1980;800 Henry Smith Street;Chitradurga;Lynchburg;NR;majordick@yahoo.ca;(615) 868-8304
1091;Isabelle David;f;02/02/1982;8 George Lane;Mandya;Maybeury;AY;sethbrown@aol.com;(410) 633-6978
1092;Mckayla Bradshaw;f;11/01/1963;24 North Race Ave.;Kolar;Avis;TK;smeier@aol.com;(309) 381-5155
1093;Ayaan Booker;m;06/08/1998;96 S. Bridle St.;Mandya;Lynchburg;RO;rattenbt@att.net;(769) 916-0141
1094;Landen Francis;m;28/11/1958;8451 Henry Ave.;Bengaluru (Bangalore) Rural;Lynchburg;RO;ganter@me.com;(863) 468-9098
1095;Laci Stafford;f;10/11/1965;57 Harvard Street;Bengaluru (Bangalore) Rural;Avis;NR;mhassel@me.com;
1096;Byron Schaefer;m;14/11/1957;7817 Cleveland St.;Chikballapur;Lynchburg;RO;jadavis@optonline.net;(353) 416-2601
1097;Charlie Frey;m;02/04/1962;7492 Fifth Lane;Bengaluru (Bangalore) Rural;New Eucha;AR;quantaman@mac.com;(981) 736-0607
1098;Rachel Gallegos;f;25/09/1982;25 Franklin Ave.;Udupi;Avis;TK;;
1099;Mara Harris;f;27/07/1990;630 Euclid Ave.;Dakshina Kannada;Avis;NR;errxn@icloud.com;
1100;Nico Davies;m;17/05/1947;26 S. Birch Hill St.;Mandya;Black Springs;AY;skippy@optonline.net;(865) 579-3887
1101;Oscar Schmidt;m;30/03/1992;829 Sulphur Springs St.;Bagalkot;Avis;AR;geeber@hotmail.com;(205) 599-0962
1102;Camila Becker;f;28/05/2002;1 Courtland Street;Vijayapura (Bijapur);Avis;TK;mhassel@sbcglobal.net;
1103;Lilly Buck;f;11/03/1999;34 Harrison Ave.;Bengaluru (Bangalore) Rural;New Eucha;TK;dcoppit@sbcglobal.net;
1104;Marquis Gamble;m;27/08/1951;358 Stonybrook St.;Bagalkot;Black Springs;RO;bbirth@hotmail.com;
1105;Alana Dillon;f;18/02/1980;60 South Snake Hill Dr.;Bagalkot;Maybeury;TK;dieman@verizon.net;
1106;Caden Zhang;m;15/08/1959;210 E. Branch Court;Bengaluru (Bangalore) Urban;Black Springs;AY;pthomsen@aol.com;
1107;Simeon Davidson;m;19/02/1991;4 East High Noon Court;Bengaluru (Bangalore) Rural;New Eucha;RO;zwood@hotmail.com;(284) 978-7842
1108;Grayson Kaufman;m;13/09/1958;201 Pulaski St.;Mysuru (Mysore);Lynchburg;RO;kmiller@comcast.net;
1109;Philip Bowman;m;19/10/1959;107 William Street;Dharwad;Maybeury;AY;monopole@sbcglobal.net;
1110;Dakota Bradley;f;09/01/2000;9709C Cleveland St.;Uttara Kannada (Karwar);Avis;TK;liedra@hotmail.com;(360) 705-3620
1111;Elisa Bullock;f;23/10/1956;393 Eagle St.;Chitradurga;Avis;TK;hllam@optonline.net;(926) 243-9894
1112;Gilbert Cain;m;18/03/1965;7403 Armstrong Road;Bidar;New Eucha;RO;janneh@optonline.net;(722) 530-4508
1113;Audrey Roach;f;16/06/1992;10 Hilldale Dr.;Kalaburagi (Gulbarga);Avis;TK;zilla@msn.com;
1114;Morgan Lam;f;02/07/1966;4 Vine Street;Udupi;Maybeury;TK;graham@mac.com;(614) 543-7441
1115;Tessa Marks;f;07/07/1981;7954 Fifth St.;Bengaluru (Bangalore) Rural;Maybeury;AY;plover@gmail.com;(598) 282-0387
1116;Jeramiah Mendez;m;14/09/1960;627 Essex Avenue;Uttara Kannada (Karwar);Black Springs;RO;osrin@aol.com;
1117;Aimee Williams;f;28/04/1944;338 York Court;Vijayapura (Bijapur);New Eucha;TK;mbswan@icloud.com;
1118;Simon Estes;m;09/09/1971;8907 Mammoth Drive;Shivamogga (Shimoga);Lynchburg;RO;kidehen@aol.com;
1119;Walker Trujillo;m;22/03/1953;1 Third Rd.;Bengaluru (Bangalore) Urban;Maybeury;AY;augusto@mac.com;
1120;Cecilia Giles;f;06/05/1956;7707 Cherry Hill Ave.;Dharwad;Maybeury;AY;payned@yahoo.com;(279) 537-2306
1121;Hector Ortega;m;18/04/1974;8716 Pumpkin Hill Drive;Bengaluru (Bangalore) Urban;Lynchburg;RO;;(510) 273-4715
1122;Owen Andrews;m;09/02/1943;11 E. Gonzales St.;Chitradurga;Lynchburg;RO;dowdy@gmail.com;
1123;Meghan Dalton;f;24/12/1956;92 Yukon Ave.;Belagavi (Belgaum);Avis;TK;djupedal@aol.com;(387) 307-6854
1124;Manuel Stephens;m;05/01/1997;152 North Marsh Avenue;Kolar;Lynchburg;RO;garland@aol.com;
1125;Noah Palmer;m;22/01/1951;7773 Gainsway Ave.;Shivamogga (Shimoga);New Eucha;AR;bruck@aol.com;(878) 557-7249
1126;Mike Rich;m;01/02/1943;7 Glenholme Rd.;Bidar;Black Springs;RO;alastair@att.net;
1127;Jacoby Brennan;m;01/07/1946;7777 Brickyard Dr.;Uttara Kannada (Karwar);Lynchburg;RO;warrior@msn.com;(716) 977-4151
1128;Melvin Burnett;m;08/06/1968;8988 Proctor Street;Davangere;Lynchburg;RO;skaufman@att.net;(680) 701-0466
1129;Zachariah Hobbs;m;19/07/1997;9729 N. Constitution Street;Udupi;Lynchburg;RO;madanm@yahoo.ca;(501) 533-4140
1130;Shiloh Roberts;f;06/01/1953;25 East Avenue;Tumakuru (Tumkur);Avis;TK;boomzilla@mac.com;
1131;Haven Villanueva;f;21/05/1970;80 Devonshire St.;Chamarajanagar;Lynchburg;NR;michiel@sbcglobal.net;(597) 769-5875
1132;Valery Kaufman;f;11/08/1941;36 Shadow Brook Drive;Koppal;New Eucha;TK;mpiotr@outlook.com;
1133;Jaelyn Maddox;f;01/08/1955;8405 Penn Lane;Chikkamagaluru (Chikmagalur);Maybeury;AY;dbrobins@msn.com;(269) 599-6477
1134;Case Howell;m;07/07/1968;303 Birchwood Drive;Chitradurga;New Eucha;RO;daveewart@comcast.net;
1135;Josue Durham;m;26/07/1962;883 Stillwater St.;Bidar;Lynchburg;RO;naoya@sbcglobal.net;
1136;Adonis Matthews;m;12/09/1978;83 Sutor St.;Bidar;Avis;AR;kaiser@gmail.com;(495) 689-3428
1137;Shayla Simmons;f;05/08/1991;839 Jefferson Ave.;Raichur;Lynchburg;NR;mwilson@hotmail.com;(572) 438-5594
1138;Sanaa Davenport;f;05/01/1991;8200 Pumpkin Hill Ave.;Kolar;Maybeury;AY;wainwrig@att.net;(991) 877-9045
1139;Camron Nash;m;30/07/1986;8354 Brown Ave.;Davangere;Lynchburg;RO;gtaylor@yahoo.com;(716) 571-5224
1140;Claire Obrien;f;23/07/1982;7123 South Division Court;Ramanagara;Avis;NR;crusader@icloud.com;
1141;Jadiel Ryan;m;03/09/1957;78 Green Lane;Udupi;New Eucha;AR;rattenbt@icloud.com;(217) 522-6406
1142;Jaliyah Weeks;f;24/07/1942;878 John Lane;Vijayapura (Bijapur);Maybeury;AY;murdocj@sbcglobal.net;(885) 726-0206
1143;Salvatore Taylor;m;11/01/1954;177 West Bear Hill Lane;Kalaburagi (Gulbarga);Lynchburg;RO;lipeng@aol.com;
1144;Livia Stone;f;17/12/1986;7654 Clinton Ave.;Kolar;Avis;NR;;(305) 798-6648
1145;Aleah Douglas;f;08/06/1947;32 W. Alderwood Drive;Chikballapur;New Eucha;TK;kildjean@comcast.net;
1146;Darwin Jefferson;m;11/08/1954;11 2nd Ave.;Chikkamagaluru (Chikmagalur);Lynchburg;RO;erynf@verizon.net;
1147;Grady Bowers;m;31/08/1982;302 Halifax Dr.;Chikkamagaluru (Chikmagalur);New Eucha;RO;seanq@live.com;
1148;Madeleine Dawson;f;28/10/1972;256 Elm Dr.;Bidar;Avis;TK;shaffei@icloud.com;(937) 890-5543
1149;Gretchen Charles;f;06/12/1966;521 Snake Hill Dr.;Ramanagara;Avis;NR;engelen@me.com;
1150;Malachi Hess;m;03/11/1956;1 Poor House Street;Belagavi (Belgaum);Maybeury;AY;jginspace@msn.com;(837) 542-4321
1151;Mariyah Murphy;f;08/06/1967;9819 Meadow Court;Kodagu;Avis;TK;dmouse@msn.com;(288) 291-5684
1152;Chad Ashley;m;30/05/1965;153 Heather St.;Koppal;Lynchburg;RO;adamk@att.net;
1153;Demarion Huber;m;18/10/2001;9928 Ryan St.;Bengaluru (Bangalore) Urban;Lynchburg;RO;staikos@yahoo.com;(253) 564-7296
1154;Kaleigh Lucero;f;12/09/1994;8458 E. Campfire Lane;Mysuru (Mysore);Maybeury;AY;penna@gmail.com;(973) 617-6564
1155;Jaquan Nelson;m;24/09/1996;885 Forest Lane;Chikballapur;Lynchburg;RO;steve@mac.com;
1156;Maximo Rowland;m;19/10/1958;7265 W. Gonzales Court;Belagavi (Belgaum);New Eucha;AR;pappp@gmail.com;
1157;Jordyn Pratt;f;02/07/1959;80 Sugar Street;Chikballapur;Maybeury;AY;tamas@verizon.net;(951) 776-1591
1158;Teagan Aguirre;m;11/11/1999;4 Charles St.;Bengaluru (Bangalore) Rural;Black Springs;RO;lauronen@att.net;
1159;Monica Sosa;f;28/08/1954;94 Howard Ave.;Chitradurga;Maybeury;AY;smeier@aol.com;(640) 677-2705
1160;Jaylah Tyler;f;10/01/1967;57 Manhattan St.;Bengaluru (Bangalore) Urban;Avis;NR;luvirini@outlook.com;
1161;Isabela Martinez;f;28/11/1994;803 N. North St.;Haveri;Maybeury;AY;preneel@msn.com;(552) 764-2909
1162;Leroy Vincent;m;13/12/1953;9798 Mill Pond Lane;Chikkamagaluru (Chikmagalur);Lynchburg;RO;jguyer@optonline.net;(797) 617-3412
1163;Cecelia Mcfarland;f;06/01/1972;446 Lakeview Street;Mysuru (Mysore);Maybeury;TK;hampton@att.net;(321) 536-5808
1164;Tess French;f;22/05/1986;46 Mayfield Street;Davangere;Avis;NR;heine@msn.com;(283) 498-7374
1165;Mireya Wilcox;f;23/10/1966;717 S. Colonial St.;Bagalkot;Avis;NR;heroine@msn.com;
1166;Reid Hernandez;m;10/02/2002;23 North St Margarets Dr.;Ramanagara;Black Springs;AY;jmmuller@aol.com;
1167;Brenden Kim;m;31/07/1985;973 Somerset St.;Uttara Kannada (Karwar);Maybeury;AY;dmiller@mac.com;(773) 634-0019
1168;Esteban Stephens;m;16/06/1947;18 Race Dr.;Mysuru (Mysore);Lynchburg;RO;qmacro@att.net;(651) 545-9302
1169;Donna Ellison;f;19/07/1960;578 Overlook Street;Bagalkot;Maybeury;TK;isaacson@msn.com;(340) 792-9727
1170;Nico Dyer;m;10/10/1961;9031 SE. Lancaster Street;Bengaluru (Bangalore) Rural;Lynchburg;RO;doche@mac.com;(253) 339-3407
1171;Jaiden Davila;m;14/03/1951;796 Rockville Dr.;Bidar;New Eucha;AR;kostas@aol.com;(504) 329-5670
1172;Trenton Evans;m;02/07/1950;9338 Gates St.;Kalaburagi (Gulbarga);Lynchburg;RO;bmorrow@yahoo.ca;
1173;Frank Burke;m;11/08/1968;660 Squaw Creek Ave.;Davangere;New Eucha;AR;nogin@outlook.com;
1174;Declan Frederick;m;26/02/1965;7430 Locust Street;Mandya;New Eucha;AR;overbom@icloud.com;(331) 613-5814
1175;Avery Bartlett;f;11/05/2000;8960 Rosewood Lane;Belagavi (Belgaum);Avis;NR;overbom@mac.com;(848) 795-6180
1176;Sherlyn Kim;f;07/05/1941;421 Circle Drive;Bengaluru (Bangalore) Urban;Avis;TK;kohlis@yahoo.ca;
1177;Alisa Kemp;f;21/04/1994;7105 Gonzales Drive;Bidar;Maybeury;AY;maikelnai@yahoo.com;
1178;Kristen Griffin;f;01/12/1998;8693 Griffin Dr.;Davangere;Maybeury;AY;bryanw@live.com;(286) 283-1215
1179;Taryn Benton;f;06/03/1977;7415 Glenholme Rd.;Chikballapur;Maybeury;AY;okroeger@sbcglobal.net;(279) 879-0293
1180;Trevon Vaughan;m;07/06/1974;8210 Gartner Street;Mysuru (Mysore);Avis;AR;esokullu@yahoo.ca;(314) 711-5034
1181;Devan Rice;m;20/05/1991;8284 E. Argyle Court;Kodagu;Lynchburg;RO;miami@optonline.net;(672) 432-8599
1182;Lauryn Decker;f;25/12/1972;460 Summer Ave.;Hassan;Avis;NR;jaesenj@icloud.com;(923) 506-5855
1183;Yazmin Todd;f;11/07/1961;61 Henry Road;Chamarajanagar;Maybeury;TK;krueger@optonline.net;
1184;Ross George;m;07/11/1961;7 Cobblestone Avenue;Bengaluru (Bangalore) Rural;Black Springs;RO;lcheng@hotmail.com;
1185;Hayley Rubio;f;02/08/1976;17 Old Wentworth Drive;Chamarajanagar;New Eucha;TK;jimxugle@me.com;
1186;Julian Vincent;m;28/03/1966;730 Johnson Street;Bagalkot;Black Springs;RO;teverett@yahoo.ca;
1187;Bethany Hancock;f;29/09/1964;9 Greenview Lane;Kalaburagi (Gulbarga);Maybeury;AY;crobles@yahoo.com;(652) 512-3468
1188;Savanna Brooks;f;26/01/2000;7936 Harrison Street;Yadgir;Maybeury;AY;balchen@icloud.com;(938) 972-1158
1189;Yandel Cortez;m;20/11/1990;9914 Myrtle Street;Ballari (Bellary);Lynchburg;RO;isotopian@gmail.com;(225) 500-8041
1190;Noelle Levine;f;30/07/2000;24 Gregory St.;Belagavi (Belgaum);New Eucha;TK;maneesh@live.com;(867) 906-9123
1191;Lauren Vazquez;f;30/11/1995;136 South Rocky River Ave.;Hassan;Avis;TK;dinther@yahoo.ca;
1192;Aria Roach;;;166 Acacia Lane;Shivamogga (Shimoga);Avis;TK;oevans@yahoo.com;
1193;Walker Hebert;m;28/07/1957;344 Lilac Ave.;Kalaburagi (Gulbarga);New Eucha;RO;conteb@live.com;
1194;Taniyah Delgado;f;17/02/1969;7003 University Drive;Hassan;Maybeury;AY;bebing@comcast.net;
1195;Cason Mclean;m;07/01/1979;7764 Bay Meadows St.;Raichur;Lynchburg;RO;akoblin@sbcglobal.net;(441) 546-2497
1196;Abagail Zamora;f;23/06/1998;7815 Indian Spring St.;Kolar;Avis;NR;metzzo@verizon.net;(812) 769-3477
1197;Makenna Whitaker;f;30/11/1993;687 Indian Spring St.;Gadag;Maybeury;AY;tellis@hotmail.com;
1198;Athena Whitaker;f;22/12/1955;89 Trusel Lane;Uttara Kannada (Karwar);Maybeury;AY;dburrows@att.net;
1199;Kayley Burton;f;04/12/1973;33 South Purple Finch Ave.;Haveri;Avis;TK;wagnerch@hotmail.com;
1200;Karina Mccarthy;f;28/10/1992;336 Chapel Street;Uttara Kannada (Karwar);New Eucha;TK;kingjoshi@verizon.net;
1201;Landin Kim;m;01/05/1964;46 Stonybrook St.;Mysuru (Mysore);Black Springs;RO;cgcra@me.com;(849) 995-3233
1202;Jordan Kirk;m;13/10/1977;9147 Devon Dr.;Uttara Kannada (Karwar);Lynchburg;RO;rgarcia@me.com;(526) 609-1264
1203;Nathaniel Rios;m;06/08/1953;91 Eagle Rd.;Gadag;Lynchburg;RO;mugwump@gmail.com;(398) 901-7060
1204;Raiden Dyer;m;06/06/1954;237 Creekside St.;Bagalkot;Black Springs;AY;flavell@msn.com;(361) 388-7283
1205;Brycen Sheppard;m;21/03/1970;16 Boston St.;Shivamogga (Shimoga);Lynchburg;RO;mgemmons@sbcglobal.net;
1206;Santino Graves;m;28/12/1940;9147 Bank St.;Udupi;Lynchburg;RO;jaarnial@verizon.net;(794) 507-6090
1207;Mireya Rush;f;20/06/1999;257 Vermont St.;Chikballapur;Avis;TK;dbrobins@att.net;(655) 297-6488
1208;Allisson Brennan;f;10/03/1961;694 West Jones Street;Vijayapura (Bijapur);Maybeury;AY;seasweb@hotmail.com;
1209;Levi Warner;m;27/11/1996;7493 Pin Oak St.;Bengaluru (Bangalore) Urban;New Eucha;AR;calin@icloud.com;(403) 533-1603
1210;Rihanna Stephenson;f;22/01/1993;27 South Marshall Ave.;Shivamogga (Shimoga);New Eucha;TK;sassen@optonline.net;(436) 676-7222
1211;Kolten Hartman;m;28/09/1970;58 Glen Eagles St.;Bidar;Black Springs;RO;grdschl@outlook.com;(882) 238-2306
1212;Yasmin Parker;f;08/04/1995;38 Lakeview St.;Ramanagara;Avis;TK;bester@yahoo.ca;(487) 912-8329
1213;Kayley Lam;f;20/01/1996;537 Paris Hill St.;Dharwad;Maybeury;TK;dbrobins@optonline.net;
1214;Jacob Porter;m;24/05/1968;7415 Hall Lane;Chikkamagaluru (Chikmagalur);New Eucha;RO;cparis@outlook.com;(520) 432-5859
1215;Dania Strickland;f;08/07/1957;7765 Gregory St.;Koppal;Maybeury;AY;starstuff@verizon.net;(541) 452-9838
1216;Desiree Ryan;f;17/02/1966;95 West Smith Store St.;Kodagu;Avis;TK;dbrobins@msn.com;(594) 581-6067
1217;Regan Craig;f;16/12/1995;9265 Old Vernon Rd.;Uttara Kannada (Karwar);Avis;TK;pgottsch@hotmail.com;(905) 265-7287
1218;Alivia Curtis;f;13/05/1948;1 Hamilton Dr.;Bagalkot;Avis;TK;pemungkah@yahoo.com;(617) 837-8800
1219;Myles Brennan;m;19/12/1986;28 Golden Star Ave.;Vijayapura (Bijapur);Lynchburg;RO;bancboy@gmail.com;
1220;Axel Guerrero;m;18/08/1974;344 East Indian Summer Lane;Haveri;New Eucha;RO;purvis@icloud.com;
1221;Angela Armstrong;f;08/05/1988;9054 Wood Ave.;Bengaluru (Bangalore) Rural;Avis;NR;esasaki@live.com;(618) 470-9092
1222;Raven Bishop;f;04/08/1999;8027 W. Honey Creek Dr.;Gadag;Lynchburg;NR;dgatwood@icloud.com;(559) 538-5195
1223;Blake Reilly;m;09/10/1977;9862 Poor House Rd.;Mysuru (Mysore);Lynchburg;RO;odlyzko@verizon.net;(218) 293-0085
1224;Amanda Rivers;f;06/03/1950;940 East Cambridge Street;Vijayapura (Bijapur);Avis;TK;nicktrig@att.net;(447) 654-4802
1225;Alyvia Vazquez;f;22/02/1997;293 Court Lane;Tumakuru (Tumkur);New Eucha;TK;dalamb@mac.com;(328) 328-2334
1226;Calvin Duncan;m;25/09/1970;174 Shady St.;Koppal;Maybeury;AY;malvar@hotmail.com;
1227;Kieran Bullock;m;15/04/1978;749 Old Sunbeam Dr.;Belagavi (Belgaum);New Eucha;AR;crobles@yahoo.com;(262) 792-0758
1228;Alyvia Myers;f;13/06/1974;389 East Green Hill Court;Ballari (Bellary);Avis;TK;bartlett@comcast.net;(385) 666-8010
1229;Paris Navarro;f;10/06/1993;157 Madison Lane;Haveri;Avis;TK;nacho@hotmail.com;
1230;Amirah Simon;f;16/11/1997;7083 E. Morris Lane;Davangere;Avis;NR;hampton@live.com;
1231;Holden Matthews;m;02/08/1992;8160 Sherman St.;Ramanagara;Lynchburg;RO;hyper@sbcglobal.net;(267) 740-0792
1232;Marcel York;m;08/12/1973;9912 Thompson Dr.;Davangere;Maybeury;AY;dodong@live.com;(540) 342-1646
1233;Jaidyn Franco;f;09/05/1949;197 Hanover Rd.;Uttara Kannada (Karwar);Avis;TK;kevinm@optonline.net;(897) 859-5657
1234;Gerald Burton;m;11/09/1996;19 South Plymouth St.;Belagavi (Belgaum);Lynchburg;RO;mbswan@sbcglobal.net;(758) 571-9375
1235;Ashton Stephenson;m;04/09/1999;971 Hillside Street;Tumakuru (Tumkur);Lynchburg;RO;panolex@me.com;
1236;Yamilet Lamb;f;14/02/1959;919 Beechwood Drive;Bidar;Maybeury;AY;feamster@msn.com;(382) 515-5139
1237;Shyanne Bridges;f;18/12/1977;9421 Boston Street;Bidar;Avis;TK;bogjobber@icloud.com;(641) 420-2656
1238;Lorenzo Richard;m;23/02/1951;427 High Noon Court;Bengaluru (Bangalore) Rural;New Eucha;AR;daveed@yahoo.com;
1239;Chace Horne;;09/01/1963;7142 Spruce Rd.;Haveri;Black Springs;RO;hutton@icloud.com;
1240;Seamus Fletcher;m;20/10/1986;70 W. Lincoln Court;Kalaburagi (Gulbarga);Black Springs;RO;skippy@msn.com;
1241;Emilie Conley;f;04/06/1962;8 Lower River Ave.;Bagalkot;Lynchburg;NR;rbarreira@msn.com;(908) 816-2335
1242;Brian Velazquez;m;18/01/1950;7100 Miller Ave.;Chikkamagaluru (Chikmagalur);Black Springs;RO;gumpish@aol.com;
1243;Allan Pittman;m;11/02/1998;445 Myrtle Dr.;Ballari (Bellary);Black Springs;RO;pemungkah@sbcglobal.net;(909) 250-3226
1244;Selina Mullins;f;09/05/1986;228 Glenwood St.;Tumakuru (Tumkur);New Eucha;TK;rafasgj@optonline.net;(903) 375-9272
1245;Leonard Hurst;m;23/10/1980;5 Warren Street;Bagalkot;Black Springs;RO;afifi@aol.com;(262) 965-6565
1246;Angeline Friedman;f;01/09/1962;683 Depot Street;Mysuru (Mysore);Avis;NR;timlinux@optonline.net;
1247;Amber Lawson;f;17/11/1955;7453 Riverside Dr.;Bidar;Avis;NR;wilsonpm@verizon.net;(525) 542-9203
1248;Jovany Jarvis;m;27/11/1940;74 Creekside Ave.;Yadgir;Black Springs;RO;arathi@mac.com;(984) 898-5454
1249;Donovan Moore;m;03/01/1946;60 Olive Circle;Dharwad;New Eucha;AR;nelson@att.net;
1250;Kevin Williamson;m;03/12/1998;16 Bald Hill Dr.;Ramanagara;Lynchburg;RO;geekoid@outlook.com;
1251;Camryn Holmes;f;10/01/1998;703 Virginia St.;Ballari (Bellary);Avis;NR;ebassi@gmail.com;
1252;Larry Marquez;m;11/09/1971;795 East Church Lane;Ballari (Bellary);New Eucha;AR;boser@msn.com;(298) 712-1818
1253;Mariam Schwartz;f;03/10/1994;71 Spring Ave.;Haveri;Avis;NR;ajlitt@aol.com;
1254;Ali Robertson;f;14/01/1961;797 Crescent Ave.;Kodagu;Lynchburg;NR;morain@icloud.com;(872) 253-1329
1255;Brennan Beasley;m;17/06/1942;21 Old Bridle Road;Yadgir;Black Springs;AY;joelw@aol.com;
1256;Aydin Barker;m;27/01/2002;8339 San Pablo Drive;Hassan;Black Springs;AR;mdielmann@yahoo.ca;(263) 368-3257
1257;Avery Greene;f;26/03/1967;55 Prairie Rd.;Bagalkot;Maybeury;TK;blixem@aol.com;
1258;Kaitlynn Wade;f;05/04/1948;35 Hamilton Lane;Udupi;Avis;TK;mugwump@optonline.net;
1259;Kaila Pollard;f;30/07/1947;29 Peninsula Ave.;Mandya;New Eucha;TK;;
1260;Sofia Carrillo;f;04/05/1945;9577 South Lafayette Dr.;Vijayapura (Bijapur);Avis;TK;mmccool@gmail.com;(434) 739-6015
1261;Carly Gill;f;24/03/1949;866 West Lake Lane;Bengaluru (Bangalore) Urban;Maybeury;AY;scotfl@aol.com;(739) 932-5241
1262;Nicole Hunt;f;06/03/1976;84 Lafayette Drive;Chamarajanagar;Maybeury;AY;rfisher@verizon.net;(559) 370-1878
1263;Yadiel Alvarado;m;15/07/2001;38 N. Rockwell Court;Kolar;Black Springs;RO;imightb@comcast.net;(371) 636-2914
1264;Kellen Dominguez;m;19/09/1987;945 Monroe Drive;Raichur;Lynchburg;RO;nimaclea@msn.com;(791) 582-2621
1265;Paul Mayo;m;16/10/1995;7206 Argyle Street;Hassan;New Eucha;AR;scottlee@sbcglobal.net;
1266;Lacey Keller;f;21/10/1979;7925 N. Shady Avenue;Gadag;Lynchburg;NR;bester@sbcglobal.net;(411) 553-1541
1267;Savanah Conrad;f;15/02/1997;762 NE. Glenwood Avenue;Tumakuru (Tumkur);Maybeury;AY;vertigo@live.com;(279) 579-4453
1268;Victoria Holland;f;25/05/1990;61 Harvard Drive;Raichur;Avis;NR;grossman@aol.com;
1269;Marley Williams;f;30/10/1977;564 Maple Ave.;Bagalkot;Avis;NR;mpiotr@yahoo.ca;(793) 608-9839
1270;Tyler Vaughan;m;24/05/1976;66 Lantern Rd.;Belagavi (Belgaum);Black Springs;RO;oneiros@yahoo.com;
1271;Anaya Koch;f;16/01/1990;8602 Military St.;Raichur;Maybeury;AY;zeller@sbcglobal.net;(617) 592-6520
1272;Jenny Dean;f;09/04/1961;874 Glendale St.;Gadag;Avis;NR;parents@verizon.net;(551) 264-0674
1273;Heather Ochoa;f;01/07/1997;466 Monroe Ave.;Mysuru (Mysore);Avis;NR;chlim@msn.com;(821) 209-6038
1274;Mohamed Trevino;m;23/06/1959;7275 Tunnel St.;Chitradurga;New Eucha;AR;padme@optonline.net;
1275;Isabela Mata;f;03/01/1949;606 Winding Way Drive;Bengaluru (Bangalore) Urban;Maybeury;TK;boein@comcast.net;
1276;Aurora Sheppard;f;06/01/1973;847 Pumpkin Hill Drive;Raichur;Maybeury;AY;ribet@optonline.net;(221) 606-9106
1277;Gilberto Weiss;m;19/01/1955;243 Leeton Ridge Dr.;Chikballapur;Black Springs;AY;crimsane@yahoo.ca;(226) 491-5915
1278;Samson Roberson;m;01/04/1963;937 Pumpkin Hill Court;Yadgir;Lynchburg;RO;facet@yahoo.ca;(315) 524-4234
1279;Trevin Swanson;m;22/04/1996;22 Jackson Ave.;Chitradurga;Black Springs;AY;jeteve@aol.com;
1280;Eduardo Sanford;m;22/05/1966;8067 Lilac Street;Belagavi (Belgaum);Lynchburg;RO;aglassis@icloud.com;(647) 382-7346
1281;Marques Jennings;m;13/04/1985;54 Vine Drive;Bidar;Black Springs;RO;joelw@att.net;
1282;Alivia Hancock;f;26/08/1944;8768 Hanover Avenue;Udupi;Maybeury;AY;world@icloud.com;(363) 499-6956
1283;Mckenna Castro;f;10/02/1998;1 Deerfield St.;Bengaluru (Bangalore) Urban;Avis;TK;stinson@mac.com;
1284;Amanda Matthews;f;14/01/1997;14 Fairground St.;Raichur;Avis;TK;wiseb@mac.com;(297) 288-7489
1285;Adison Rowland;f;29/04/1957;93 Coffee St.;Bengaluru (Bangalore) Rural;;TK;jonadab@optonline.net;
1286;Reece Mayo;m;11/11/1968;162 East Ave.;Bengaluru (Bangalore) Rural;Lynchburg;RO;payned@gmail.com;
1287;Kallie Ortega;f;24/09/1943;47 Amerige St.;Shivamogga (Shimoga);Avis;NR;isaacson@outlook.com;(724) 509-4253
1288;Lorelai Moyer;f;05/01/1941;57 Thatcher Lane;Ramanagara;Maybeury;TK;isotopian@aol.com;(520) 876-0445
1289;Kareem Underwood;m;25/05/1967;7927 Penn Dr.;Shivamogga (Shimoga);Lynchburg;RO;tjensen@comcast.net;(592) 504-6166
1290;Kaylynn Walters;f;22/09/1997;85 Studebaker Rd.;Bengaluru (Bangalore) Rural;Maybeury;AY;rfoley@optonline.net;(716) 639-4287
1291;Lucy Sheppard;f;31/03/2000;115 Beechwood Court;Vijayapura (Bijapur);Avis;TK;lbaxter@aol.com;
1292;Charity Pace;f;29/06/1962;97 Rocky River Road;Tumakuru (Tumkur);Avis;TK;eabrown@att.net;(245) 313-5523
1293;Erika Baker;f;16/06/1943;52 West Talbot Street;Tumakuru (Tumkur);Maybeury;TK;mavilar@comcast.net;
1294;Allen Flowers;m;02/03/1992;32 North Kent Ave.;Shivamogga (Shimoga);New Eucha;RO;gordonjcp@me.com;
1295;Joseph Hays;m;17/06/1965;7155 Manchester Court;Kolar;Black Springs;RO;stevelim@comcast.net;
1296;Evangeline Boyle;f;05/11/1975;321 Mill Ave.;Chikkamagaluru (Chikmagalur);New Eucha;TK;fbriere@verizon.net;
1297;Judith Hampton;f;30/06/1951;7390 West Broad St.;Uttara Kannada (Karwar);Maybeury;AY;shrapnull@hotmail.com;(710) 745-7416
1298;Marvin Kerr;m;30/07/1976;61 Walnut Drive;Chitradurga;Black Springs;RO;cremonini@aol.com;
1299;Dario Hull;m;20/01/1987;817 Old Illinois Dr.;Dakshina Kannada;Avis;AR;miturria@mac.com;(499) 380-3431
1300;Joe Bond;m;23/07/1969;259 West Rockledge St.;Chamarajanagar;Lynchburg;RO;jigsaw@comcast.net;(380) 937-6400
